Jan 19, 2019 5 8 41 65 66 20 
Jan 16, 2019 14 29 31 56 61 1 
Jan 12, 2019 7 36 48 57 58 24 
Jan 9, 2019 6 19 37 49 59 22 
Jan 5, 2019 3 7 15 27 69 19 
Jan 2, 2019 8 12 42 46 56 12 
Dec 29, 2018 12 42 51 53 62 25 
Dec 26, 2018 5 25 38 52 67 24 
Dec 22, 2018 21 28 30 40 59 26 
Dec 19, 2018 15 29 31 37 43 16 
Dec 15, 2018 8 38 43 52 55 17 
Dec 12, 2018 4 9 21 29 64 26 
Dec 8, 2018 14 32 34 46 61 10 
Dec 5, 2018 9 11 36 37 38 11 
Dec 1, 2018 10 11 47 55 58 26 
Nov 28, 2018 4 19 59 68 69 21 
Nov 24, 2018 11 33 51 56 58 18 
Nov 21, 2018 7 14 23 38 55 18 
Nov 17, 2018 6 8 20 52 68 5 
Nov 14, 2018 7 42 49 62 69 23 
Nov 10, 2018 5 29 34 53 57 24 
Nov 7, 2018 26 28 34 42 50 25 
Nov 3, 2018 15 21 24 32 65 11 
Oct 31, 2018 7 25 39 40 47 20 
Oct 27, 2018 8 12 13 19 27 4 
Oct 24, 2018 3 21 45 53 56 22 
Oct 20, 2018 16 54 57 62 69 23 
Oct 17, 2018 3 57 64 68 69 15 
Oct 13, 2018 11 14 32 43 65 15 
Oct 10, 2018 8 23 27 42 60 7 
Oct 6, 2018 1 22 27 53 67 15 
Oct 3, 2018 41 53 59 63 66 3 
Sep 29, 2018 9 17 34 59 64 22 
Sep 26, 2018 1 2 7 30 50 8 
Sep 22, 2018 24 61 63 64 69 18 
Sep 19, 2018 4 39 48 50 51 11 
Sep 15, 2018 2 18 19 24 34 3 
Sep 12, 2018 6 28 48 63 64 24 
Sep 8, 2018 3 13 20 32 33 21 
Sep 5, 2018 6 15 50 59 60 13 
Sep 1, 2018 11 54 55 61 66 9 
Aug 29, 2018 25 41 53 57 67 12 
Aug 25, 2018 20 25 54 57 63 8 
Aug 22, 2018 1 7 45 47 69 13 
Aug 18, 2018 24 34 52 61 67 16 
Aug 15, 2018 12 15 28 47 48 16 
Aug 11, 2018 5 43 56 62 68 24 
Aug 8, 2018 10 21 30 43 63 17 
Aug 4, 2018 3 11 38 44 58 2 
Aug 1, 2018 5 22 32 38 58 26 
Jul 28, 2018 22 27 46 56 65 13 
Jul 25, 2018 2 18 41 44 64 26 
Jul 21, 2018 9 23 56 58 68 1 
Jul 18, 2018 1 10 27 28 36 12 
Jul 14, 2018 22 41 42 49 67 11 
Jul 11, 2018 19 21 27 46 47 7 
Jul 7, 2018 1 10 43 45 64 22 
Jul 4, 2018 4 7 15 41 44 10 
Jun 30, 2018 3 9 20 42 61 24 
Jun 27, 2018 7 28 37 62 63 15 
Jun 23, 2018 16 29 43 45 56 25 
Jun 20, 2018 4 14 23 27 56 13 
Jun 16, 2018 9 45 57 58 65 9 
Jun 13, 2018 13 20 38 45 55 1 
Jun 9, 2018 6 10 15 25 36 14 
Jun 6, 2018 23 28 41 53 56 14 
Jun 2, 2018 23 25 37 44 64 7 
May 30, 2018 17 23 26 46 68 20 
May 26, 2018 1 21 31 45 49 21 
May 23, 2018 20 54 56 61 64 7 
May 19, 2018 3 6 9 17 56 25 
May 16, 2018 17 19 21 22 51 19 
May 12, 2018 22 42 45 55 56 14 
May 9, 2018 11 16 38 50 69 19 
May 5, 2018 14 29 36 57 61 17 
May 2, 2018 5 14 31 40 50 6 
Apr 28, 2018 20 22 28 45 50 8 
Apr 25, 2018 17 18 39 56 64 12 
Apr 21, 2018 40 50 54 62 69 19 
Apr 18, 2018 9 10 12 17 23 9 
Apr 14, 2018 17 19 26 61 62 15 
Apr 11, 2018 16 18 27 55 67 18 
Apr 7, 2018 2 17 20 38 39 20 
Apr 4, 2018 8 24 42 54 64 24 
Mar 31, 2018 8 24 52 55 61 21 
Mar 28, 2018 6 8 26 52 53 21 
Mar 24, 2018 10 33 45 53 56 24 
Mar 21, 2018 3 4 18 29 61 25 
Mar 17, 2018 22 57 59 60 66 7 
Mar 14, 2018 6 12 24 41 68 9 
Mar 10, 2018 43 44 54 61 69 22 
Mar 7, 2018 6 13 19 36 51 18 
Mar 3, 2018 13 17 25 36 40 5 
Feb 28, 2018 12 30 59 65 69 16 
Feb 24, 2018 24 25 38 62 63 6 
Feb 21, 2018 7 15 31 34 36 8 
Feb 17, 2018 13 26 39 44 62 2 
Feb 14, 2018 37 39 44 46 69 26 
Feb 10, 2018 1 13 27 41 59 20 
Feb 7, 2018 23 34 35 40 47 10 
